fid,osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,length,start_node,end_node
3614,"381171590",Clay Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""1000;1000;780;790;800;813;854;867;885;896;910;947;958;981;990;33;33;1098"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""CLAY"",""bburg:suffix""=>""SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SW"",""bburg:type""=>""ST""",1186.37952457709,"-80.4077492,37.2295807","-80.4066076,37.230358"
3615,"381171590",Clay Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""1000;1000;780;790;800;813;854;867;885;896;910;947;958;981;990;33;33;1098"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""CLAY"",""bburg:suffix""=>""SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SW"",""bburg:type""=>""ST""",1186.37952457709,"-80.4066076,37.230358","-80.4059321,37.2308174"
3616,"381171590",Clay Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""1000;1000;780;790;800;813;854;867;885;896;910;947;958;981;990;33;33;1098"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""CLAY"",""bburg:suffix""=>""SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SW"",""bburg:type""=>""ST""",1186.37952457709,"-80.4059321,37.2308174","-80.4031231,37.2327897"
3617,"381171590",Clay Street,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""1000;1000;780;790;800;813;854;867;885;896;910;947;958;981;990;33;33;1098"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""CLAY"",""bburg:suffix""=>""SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SE;SW"",""bburg:type""=>""ST""",1186.37952457709,"-80.4031231,37.2327897","-80.3988809,37.2355399"
3618,"381171591",Draper Road,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""443;765;795;834;855;879;892;901;909;926;737;707;944"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""DRAPER"",""bburg:suffix""=>""NW;NW;SW;SW;SW;SW;SW;SW;SW;SW;SW"",""bburg:type""=>""RD"",""lane_markings""=>""no"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:left""=>""lane"",""parking:left:access""=>""yes"",""parking:left:capacity""=>""6"",""parking:left:fee""=>""yes"",""parking:left:markings""=>""yes"",""parking:left:orientation""=>""parallel"",""parking:left:surface""=>""asphalt"",""parking:right""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",100.312020598193,"-80.4125205,37.2267103","-80.4125535,37.2267551"
3619,"381171591",Draper Road,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""443;765;795;834;855;879;892;901;909;926;737;707;944"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""DRAPER"",""bburg:suffix""=>""NW;NW;SW;SW;SW;SW;SW;SW;SW;SW;SW"",""bburg:type""=>""RD"",""lane_markings""=>""no"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:left""=>""lane"",""parking:left:access""=>""yes"",""parking:left:capacity""=>""6"",""parking:left:fee""=>""yes"",""parking:left:markings""=>""yes"",""parking:left:orientation""=>""parallel"",""parking:left:surface""=>""asphalt"",""parking:right""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",100.312020598193,"-80.4125535,37.2267551","-80.4129562,37.2271831"
3620,"381171591",Draper Road,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""443;765;795;834;855;879;892;901;909;926;737;707;944"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""DRAPER"",""bburg:suffix""=>""NW;NW;SW;SW;SW;SW;SW;SW;SW;SW;SW"",""bburg:type""=>""RD"",""lane_markings""=>""no"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:left""=>""lane"",""parking:left:access""=>""yes"",""parking:left:capacity""=>""6"",""parking:left:fee""=>""yes"",""parking:left:markings""=>""yes"",""parking:left:orientation""=>""parallel"",""parking:left:surface""=>""asphalt"",""parking:right""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",100.312020598193,"-80.4129562,37.2271831","-80.4131604,37.2273939"
3621,"381171591",Draper Road,tertiary,,,,,,4,"""bburg:dataset""=>""rcl"",""bburg:id""=>""443;765;795;834;855;879;892;901;909;926;737;707;944"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""DRAPER"",""bburg:suffix""=>""NW;NW;SW;SW;SW;SW;SW;SW;SW;SW;SW"",""bburg:type""=>""RD"",""lane_markings""=>""no"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:left""=>""lane"",""parking:left:access""=>""yes"",""parking:left:capacity""=>""6"",""parking:left:fee""=>""yes"",""parking:left:markings""=>""yes"",""parking:left:orientation""=>""parallel"",""parking:left:surface""=>""asphalt"",""parking:right""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",100.312020598193,"-80.4131604,37.2273939","-80.4131984,37.2274314"
3622,"381171592",Washington Street,secondary,,,,,,6,"""bburg:dataset""=>""rcl"",""bburg:id""=>""430;824;845;878;718;887;898;912;929"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""WASHINGTON"",""bburg:suffix""=>""SW"",""bburg:type""=>""ST"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",85.9354591485901,"-80.4131984,37.2274314","-80.412559,37.2278683"
3623,"381171592",Washington Street,secondary,,,,,,6,"""bburg:dataset""=>""rcl"",""bburg:id""=>""430;824;845;878;718;887;898;912;929"",""bburg:maint""=>""Blacksburg"",""bburg:maxspeed""=>""25.0"",""bburg:name""=>""WASHINGTON"",""bburg:suffix""=>""SW"",""bburg:type""=>""ST"",""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""25 mph"",""noref""=>""yes"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""separate"",""sidewalk:both""=>""separate"",""surface""=>""asphalt""",85.9354591485901,"-80.412559,37.2278683","-80.4124622,37.2279344"
